Fecha;Portafolio;ASSETCLASS;Numtit;Titulo; Nominal ; VPNOrigen ; VPNLocal 
28/02/2019;FONPET2012;BONOS INFLACIÓN;697;CDTIPC; 3.500.000.000 ; 3.690.470.000 ; 3.690.470.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;698;CDTIPC; 2.100.000.000 ; 2.187.402.000 ; 2.187.402.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;739;CDTIPC; 525.000.000 ; 551.171.250 ; 551.171.250 
28/02/2019;FONPET2012;BONOS INFLACIÓN;740;CDTIPC; 350.000.000 ; 368.235.000 ; 368.235.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;743;CDTIPC; 1.750.000.000 ; 1.838.427.500 ; 1.838.427.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;747;CDTIPC; 2.450.000.000 ; 2.532.271.000 ; 2.532.271.000 
28/02/2019;FONPET2012;SOBERANOS EMERGENTES;762;YUSD20250220; 2.100.000 ; 2.281.020 ; 7.019.496.897 
28/02/2019;FONPET2012;CORPORATIVOS EXTERIOR;763;GSURA21USD; 900.000 ; 952.515 ; 2.931.222.035 
28/02/2019;FONPET2012;CORPORATIVOS EXTERIOR;783;BCP10160920; 4.200.000 ; 4.451.244 ; 13.698.035.723 
28/02/2019;FONPET2012;SOBERANOS EMERGENTES;786;CHILE050820; 450.000 ; 457.857 ; 1.408.986.239 
28/02/2019;FONPET2012;SOBERANOS EMERGENTES;846;PERU11300319; 3.900.000 ; 4.033.185 ; 12.411.521.860 
28/02/2019;FONPET2012;BONOS INFLACIÓN;855;BBSA1099B4; 3.850.000.000 ; 4.212.824.000 ; 4.212.824.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;863;SHOM01109A; 10.620.000.000 ; 10.828.576.800 ; 10.828.576.800 
28/02/2019;FONPET2012;BONOS INFLACIÓN;864;BCCB1099C15; 3.680.000.000 ; 4.347.846.400 ; 4.347.846.400 
28/02/2019;FONPET2012;BONOS INFLACIÓN;865;BLGC01109C10; 180.000.000 ; 189.356.400 ; 189.356.400 
28/02/2019;FONPET2012;BONOS INFLACIÓN;869;BBGA2089B132; 16.980.000.000 ; 17.293.620.600 ; 17.293.620.600 
28/02/2019;FONPET2012;BONOS INFLACIÓN;873;BSIS1099C10; 24.759.000.000 ; 25.174.703.610 ; 25.174.703.610 
28/02/2019;FONPET2012;BONOS INFLACIÓN;874;BISG1099A15; 19.027.000.000 ; 23.513.947.140 ; 23.513.947.140 
28/02/2019;FONPET2012;BONOS INFLACIÓN;875;BEEP1109C20; 880.000.000 ; 1.052.110.400 ; 1.052.110.400 
28/02/2019;FONPET2012;D PUB INFLACIÓN;876;BISA4049VA; 5.600.000.000 ; 6.217.512.000 ; 6.217.512.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;877;BEMG1099B15; 1.050.000.000 ; 1.195.656.000 ; 1.195.656.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;884;BBGA01119G12; 10.500.000.000 ; 11.126.220.000 ; 11.126.220.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;885;BISG1099A10; 35.590.000.000 ; 38.011.187.700 ; 38.011.187.700 
28/02/2019;FONPET2012;BONOS INFLACIÓN;890;BLGC03119D8; 9.100.000.000 ; 9.452.261.000 ; 9.452.261.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;892;BCCB01129C10; 44.315.000.000 ; 46.397.361.850 ; 46.397.361.850 
28/02/2019;FONPET2012;BONOS INFLACIÓN;893;BSOD01129C10; 18.413.000.000 ; 19.133.132.430 ; 19.133.132.430 
28/02/2019;FONPET2012;BONOS INFLACIÓN;894;BBCX09129B24; 21.820.000.000 ; 22.379.246.600 ; 22.379.246.600 
28/02/2019;FONPET2012;BONOS INFLACIÓN;895;BBCX09129B12; 9.100.000.000 ; 9.619.428.000 ; 9.619.428.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;900;BBCB02109D10; 23.280.000.000 ; 24.332.488.800 ; 24.332.488.800 
28/02/2019;FONPET2012;BONOS INFLACIÓN;901;BBCB1099B15; 6.480.000.000 ; 8.230.831.200 ; 8.230.831.200 
